infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
7672,5460,1768,444,2340,40.5,0,47
7672,5468,1760,444,2376,40.5,0,89
7676,5460,1768,448,2376,40.5,0,89
7676,5464,1764,448,2376,40.5,0,89
7676,5460,1768,448,2376,40.5,0,89
7676,5464,1764,448,2376,40.5,0,89
7684,5464,1772,448,2376,40.5,0,89
7672,5460,1772,440,2380,40.5,0,89
7668,5460,1768,440,2380,40.5,0,89
7672,5460,1768,444,2376,40.5,0,89
7680,5468,1764,448,2376,40.5,0,89
7676,5464,1764,448,2376,40.5,0,97
7676,5464,1764,448,2376,40.5,0,97
7676,5464,1764,448,2376,40.5,0,97
7676,5464,1764,448,2376,40.5,0,97
7676,5464,1764,448,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7668,5460,1768,440,2380,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7676,5464,1772,440,2376,40.5,1330,97
7676,5460,1772,444,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7676,5460,1772,444,2376,40.5,1330,97
7676,5460,1772,444,2376,40.5,1330,97
7680,5468,1768,444,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7680,5460,1768,452,2376,40.5,1330,97
7680,5468,1760,452,2376,40.5,1330,97
7680,5464,1772,444,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7680,5460,1772,448,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7676,5460,1772,444,2380,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7684,5468,1764,452,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7680,5468,1764,448,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7668,5460,1768,440,2380,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7676,5460,1772,444,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7680,5460,1772,448,2376,40.5,1330,97
7680,5460,1768,452,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7680,5468,1764,448,2376,40.5,1330,97
7668,5460,1768,440,2384,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7676,5464,1772,440,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7680,5468,1760,452,2376,40.5,1330,97
7668,5460,1760,448,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1772,440,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1772,440,2376,40.5,1330,97
7672,5460,1772,440,2376,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7680,5460,1772,448,2376,40.5,1330,97
7680,5468,1764,448,2376,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1772,440,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7680,5468,1764,448,2376,40.5,1330,97
7676,5460,1772,444,2380,40.5,1330,97
7672,5460,1772,440,2380,40.5,1330,97
7668,5460,1768,440,2380,40.5,1330,97
7668,5460,1768,440,2380,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7668,5460,1768,440,2376,40.5,1330,97
7676,5468,1760,448,2376,40.5,1330,97
7680,5468,1760,452,2376,40.5,1330,97
7676,5460,1768,448,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7680,5468,1768,444,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
7680,5460,1772,448,2376,40.5,1330,97
7672,5460,1768,444,2380,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7680,5468,1768,444,2376,40.5,1330,97
7684,5468,1764,452,2376,40.5,1330,97
7680,5468,1768,444,2376,40.5,1330,97
7672,5460,1768,444,2384,40.5,1330,97
7672,5460,1768,444,2376,40.5,1330,97
7676,5464,1764,448,2376,40.5,1330,97
