sample_idx,ground_truth,gt_label,h1_0,h1_1,h1_2,h1_3,h1_4,h1_5,h1_6,h1_7,h1_8,h1_9,h1_10,h1_11,h1_12,h1_13,h1_14,h1_15,h1_16,h1_17,h1_18,h1_19,h1_20,h1_21,h1_22,h1_23,h1_24,h1_25,h1_26,h1_27,h1_28,h1_29,h1_30,h1_31,h2_0,h2_1,h2_2,h2_3,h2_4,h2_5,h2_6,h2_7,h2_8,h2_9,h2_10,h2_11,h2_12,h2_13,h2_14,h2_15
1437,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.463692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.216461,0.000000,103.549950,0.000000,125.412689,0.000000,308.948059,91.286255,0.000000,0.000000,0.000000,0.000000,10.763549,0.000000,0.000000,0.000000,63.417034,0.000000,0.000000,0.000000,0.000000,24.103022,8.968748,0.000000,0.000000,0.000000,21.944067
1438,4,E,0.000000,0.000000,213.439545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.503712,59.225220,0.000000,0.000000,0.000000,22.574554,0.000000,0.000000,27.107649,0.000000,0.000000,0.000000,114.435837,0.000000,157.534210,0.000000,30.036898,0.000000,173.390976,0.000000,0.000000,91.331215,0.000000,0.000000,20.412439,0.000000,0.000000,0.000000,34.346100,0.000000,0.000000,0.000000,0.000000,0.000000,24.600246,0.000000,0.000000,0.000000,0.000000
1439,4,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,278.324921,0.000000,0.000000,0.000000,126.201920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.295761,0.000000,146.825623,0.000000,0.000000,0.000000,87.726494,24.553051,0.000000,83.827522,0.000000,33.547615,103.217545,0.000000,6.636594,0.000000,84.711876,0.000000,0.000000,0.000000,0.000000,0.000000,87.536644,0.000000,26.551460,0.000000,101.853912
1440,4,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.246807,397.291351,0.000000,0.000000,0.000000,262.705719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.540997,0.000000,0.000000,0.000000,113.193138,0.000000,34.083599,0.000000,0.000000,4.479488,0.000000,85.935822,127.992332,0.000000,14.676994,0.000000,56.907032,0.000000,20.180931,0.000000,0.000000,0.000000,115.745743,52.559353,0.000000,0.000000,127.490852
1441,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,225.624634,0.000000,143.011047,0.000000,212.069687,0.000000,275.773468,157.290649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.730354,0.000000,0.000000,0.000000,0.000000,73.906670,0.000000,0.000000,0.000000,0.000000,0.000000
1442,2,C,0.000000,0.000000,216.836945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,310.386902,0.000000,0.000000,0.000000,0.000000,62.686275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.825613,0.000000,127.894318,0.000000,97.573990,0.000000,144.481644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.855621,0.000000,0.000000,0.000000,0.000000,37.836060,0.000000,0.000000,0.000000,0.000000
1443,2,C,0.000000,0.000000,242.596283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.553207,0.000000,0.000000,0.000000,0.000000,61.851048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.058804,0.000000,151.380753,0.000000,92.941818,0.000000,141.663818,0.000000,0.000000,22.092443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.325852,0.000000,0.000000,0.000000,0.000000,0.000000,36.661263,0.000000,0.000000,0.000000,0.000000
1444,0,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.096260,308.850342,0.000000,0.000000,0.000000,330.199005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,251.109833,0.000000,0.000000,19.390282,0.000000,118.124413,0.000000,64.376884,124.019371,0.000000,27.415066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.116890,90.128067,0.000000,0.000000,87.246628
1445,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.614769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,155.903870,0.000000,74.258530,0.000000,216.036224,0.000000,275.067444,74.687325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.317699,0.000000,32.271309,0.000000,0.000000,0.000000,0.000000,65.931038,0.000000,0.000000,0.000000,0.000000,0.000000
1446,2,C,0.000000,0.000000,247.448074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,374.555695,0.000000,0.000000,0.000000,0.000000,85.168922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.235701,0.000000,133.518021,0.000000,114.392029,0.000000,131.240753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.622694,0.000000,0.000000,0.000000,0.000000,48.943146,0.000000,0.000000,0.000000,0.000000
1447,1,B,0.000000,0.000000,224.966156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,191.594910,59.219910,0.000000,0.000000,0.000000,96.389038,0.000000,0.000000,15.508084,0.000000,0.000000,0.000000,73.529228,0.000000,134.807587,0.000000,14.075320,0.000000,122.595718,0.000000,0.000000,44.432365,0.000000,0.000000,18.658157,0.000000,0.000000,0.000000,17.716740,0.000000,0.000000,0.000000,0.000000,0.000000,51.893528,0.000000,0.000000,0.000000,4.383409
1448,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.568924,0.000000,48.099064,0.000000,298.525665,0.000000,287.804565,162.328079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.355751,0.000000,0.000000,0.000000,0.000000,0.000000
1449,1,B,0.000000,0.000000,184.646088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.180115,42.685570,0.000000,0.000000,0.000000,49.441700,0.000000,0.000000,94.654945,0.000000,0.000000,0.000000,80.026489,0.000000,114.680740,0.000000,76.186111,0.000000,137.077957,0.000000,0.000000,88.267387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.645962,0.000000,0.000000,0.000000,0.000000,0.000000,13.004672,0.000000,0.000000,0.000000,0.000000
1450,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.423396,46.018478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,134.294006,0.000000,78.799225,0.000000,193.342972,0.000000,281.862061,50.730396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.700881,0.000000,41.034950,0.000000,0.000000,0.000000,0.000000,49.122810,0.000000,0.000000,0.000000,0.000000,0.000000
1451,0,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.972000,313.509094,0.000000,0.000000,0.000000,317.894104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,236.840347,0.000000,0.000000,0.000000,0.000000,40.716011,0.000000,81.060547,103.853638,0.000000,30.962154,0.000000,0.840087,0.000000,0.000000,0.000000,0.000000,0.000000,125.802208,78.174179,0.000000,0.000000,90.591354
1452,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.958738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.677841,0.000000,60.339050,0.000000,262.558502,0.000000,320.089813,225.836868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.542238,0.000000,0.000000,0.000000,0.000000,77.937042,0.000000,0.000000,0.000000,0.000000,0.000000
1453,2,C,0.000000,0.000000,258.181549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,278.322998,0.000000,0.000000,0.000000,0.000000,71.388763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.496929,0.000000,145.368454,0.000000,98.957161,0.000000,135.538651,0.000000,0.000000,12.579512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.113468,0.000000,0.000000,0.000000,0.000000
1454,4,E,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.013954,204.439102,0.000000,0.000000,0.000000,38.737923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,226.677338,0.000000,112.707054,0.000000,50.911564,0.000000,178.556686,0.000000,0.000000,134.040894,0.000000,0.000000,75.347786,0.000000,23.133181,0.000000,66.988785,0.000000,0.000000,0.000000,0.000000,0.000000,50.363728,0.000000,19.954140,0.000000,70.213440
