infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
10660,7212,2900,536,984,98.6,1009,65808
10660,7208,2904,536,984,98.6,1009,65792
10656,7208,2904,532,984,98.6,1009,65816
10652,7208,2904,528,984,98.6,1009,65808
10652,7204,2908,528,984,98.6,1009,65812
10652,7204,2904,528,984,98.6,1009,65820
10660,7208,2904,536,984,98.6,1009,65764
10652,7204,2900,536,984,98.6,1009,65768
10660,7204,2904,536,976,98.6,1009,65768
10660,7208,2904,536,984,98.6,1009,65816
10652,7204,2908,528,984,98.6,1009,65788
10660,7204,2908,536,984,98.6,1009,65804
10660,7204,2904,536,984,98.6,1009,65788
10652,7208,2904,532,980,98.6,1009,65816
10660,7204,2908,536,984,98.6,1009,65828
10660,7208,2904,536,984,98.6,1009,65812
10660,7208,2904,536,984,98.6,1009,65760
10660,7204,2908,536,984,98.6,1009,65776
10660,7212,2900,536,984,98.6,1009,65784
10660,7204,2908,536,984,98.6,1009,65784
10660,7204,2908,536,984,98.6,1009,65808
10660,7204,2908,536,984,98.6,1009,65780
10660,7204,2908,536,984,98.6,1009,65804
10652,7204,2908,528,984,98.6,1009,65812
10656,7208,2904,532,984,98.6,1009,65792
10664,7208,2908,540,980,98.6,1009,65792
10660,7204,2908,540,980,98.6,1009,65788
10652,7204,2904,528,984,98.6,1009,65796
10660,7208,2904,536,984,98.6,1009,65824
10660,7208,2904,540,980,98.6,1009,65796
10660,7204,2908,536,980,98.6,1009,65300
10652,7204,2908,528,984,98.6,1009,65316
10660,7204,2908,540,980,98.6,1009,65296
10660,7204,2908,536,980,98.6,1009,65288
10660,7204,2904,536,984,98.6,1009,65312
10652,7208,2896,536,984,98.6,1009,65288
10660,7208,2904,536,984,98.6,1009,65276
10660,7208,2904,536,984,98.6,1009,65340
10656,7208,2904,532,980,98.6,1009,65280
10656,7208,2900,540,980,98.6,1009,65320
10660,7208,2904,536,984,98.6,1009,65312
10660,7204,2908,536,980,98.6,1009,65796
10660,7208,2904,536,984,98.6,1009,65796
10660,7212,2900,536,984,98.6,1009,65808
10652,7204,2900,536,984,98.6,1009,65860
10652,7208,2904,528,984,98.6,1009,65820
10660,7208,2904,536,984,98.6,1009,65832
10652,7208,2904,528,984,98.6,1009,65800
